global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr
88,2,8,"[20, 21, 22, 23, 24, 25]",3014.5815505981445,430.0537185668945,212196.49583271347,212196.49583271347
89,2,9,"[4, 5]",3738.319667816162,619.2711524963379,278562.1650455047,278562.1650455047
90,2,10,"[6, 7]",4112.7018966674805,558.0816497802734,259377.33985942215,259377.33985942215
91,2,11,"[8, 9]",4084.771583557129,529.9236640930176,589907.7595335562,589907.7595335562
92,2,12,"[26, 27, 28, 29, 30, 31]",4925.703590393066,433.184497833252,224756.11733829303,224756.11733829303
93,2,13,"[10, 11]",1984.8964138031008,151.7937355041504,335233.39967185736,335233.39967185736
94,2,14,"[12, 13]",2705.6185035705566,273.0766487121582,239254.9942216536,239254.9942216536
95,2,15,"[14, 15]",2010.009494781494,361.2143898010254,420889.2020548437,420889.2020548437
200,5,0,"[26, 27, 28, 29, 30, 31]",7643.182373046875,1851.2767181396484,391285.95019354107,391285.95019354107
201,5,1,"[26, 27]",7031.516147613525,1933.102020263672,283470.64182636305,283470.64182636305
202,5,2,"[28, 29]",8494.806694030762,2174.038200378418,309449.29031291,309449.29031291
203,5,3,"[30, 31]",7490.078145980835,1747.9828338623047,794962.2668936409,794962.2668936409
204,5,4,"[20, 21, 22, 23, 24, 25]",7568.782165527344,1476.9788284301758,172380.8661329143,172380.8661329143
205,5,5,"[20, 21]",3294.605785369873,681.078914642334,523909.4583459576,319689.1359552792
206,5,6,"[22, 23]",3686.242511749268,740.1685218811035,373944.0007785354,373944.0007785354
207,5,7,"[24, 25]",2873.0547943115234,680.4507331848145,685107.668414198,685107.668414198
208,5,8,"[10, 11, 12, 13, 14, 15]",5210.766611099243,1458.4674835205078,112838.0822488528,112838.0822488528
209,5,9,"[10, 11]",6503.379148483276,2396.78514289856,159559.90481835956,159559.90481835956
210,5,10,"[12, 13]",8546.846591949463,2875.378143310547,182311.67679093647,182311.67679093647
211,5,11,"[14, 15]",8625.483489990234,2634.384155273437,574389.5485692761,574389.5485692761
212,5,12,"[4, 5, 6, 7, 8, 9]",5659.26834487915,1367.4423751831057,177500.09461057803,177500.09461057803
213,5,13,"[4, 5]",3041.9412059783936,1396.057725906372,150240.34425815957,150240.34425815957
214,5,14,"[6, 7]",5464.275011062622,2819.944917678833,132452.14427993126,132452.14427993126
215,5,15,"[8, 9]",4741.153820037842,2851.393613815308,318623.8760141347,318623.8760141347
160,4,0,"[42, 43, 44, 45, 46, 47]",3437.270404815674,269.01604080200195,735472.4975439699,735472.4975439699
161,4,1,"[42, 43]",3340.831573486328,576.5985908508301,882067.4075736699,882067.4075736699
162,4,2,"[44, 45]",5196.10986328125,1567.425895690918,894475.7337736026,894475.7337736026
163,4,3,"[46, 47]",2915.2353916168213,311.57310485839844,2711260.930858339,2711260.930858339
164,4,4,"[36, 37, 38, 39, 40, 41]",4938.686332702637,961.6507797241212,970762.5434340028,970762.5434340028
165,4,5,"[52, 53]",3601.4691009521484,743.4873809814453,422298.9103634736,422298.9103634736
166,4,6,"[54, 55]",7612.327610015869,1665.8067932128906,333213.38014016586,333213.38014016586
167,4,7,"[56, 57]",5360.578834533691,571.6325759887695,721844.6166398706,721844.6166398706
168,4,8,"[58, 59, 60, 61, 62, 63]",2937.9086513519287,188.55856704711917,348184.0353520215,348184.0353520215
169,4,9,"[58, 59]",5180.60266494751,502.0290069580078,447555.2782900282,447555.2782900282
170,4,10,"[60, 61]",4622.623106002808,471.96692085266113,451324.68947554426,451324.68947554426
171,4,11,"[62, 63]",5961.601890563965,654.8147315979004,1200906.094219764,1200906.094219764
172,4,12,"[52, 53, 54, 55, 56, 57]",5433.447025299072,798.0677757263184,300014.8666804992,300014.8666804992
173,4,13,"[36, 37]",2778.747695922852,549.3737182617188,247983.0183220888,247983.0183220888
174,4,14,"[38, 39]",4103.585901260376,748.5706443786621,215305.02767520567,215305.02767520567
175,4,15,"[40, 41]",2998.918899536133,594.9448318481445,496420.4999075927,496420.4999075927
280,7,0,"[52, 53, 54, 55, 56, 57]",4880.749530792236,908.1075592041016,318442.67939705966,318442.67939705966
281,7,1,"[52, 53]",7012.401521682739,953.6315078735352,441084.05713108566,441084.05713108566
282,7,2,"[54, 55]",9571.861572265623,743.7432022094727,465073.3252809232,465073.3252809232
283,7,3,"[56, 57]",10644.98518371582,807.3516387939453,1379268.3924574372,1379268.3924574372
284,7,4,"[58, 59, 60, 61, 62, 63]",5940.826936721802,472.3307228088379,411947.67819631874,411947.67819631874
285,7,5,"[58, 59]",4413.007286071777,535.790714263916,326055.51500430214,326055.51500430214
286,7,6,"[60, 61]",3675.976125717163,623.0825958251953,275760.5693343144,275760.5693343144
287,7,7,"[62, 63]",3346.8078422546387,507.2044906616211,661918.4314898521,661918.4314898521
288,7,8,"[36, 37, 38, 39, 40, 41]",3236.9655723571777,928.2123260498048,307342.43058947515,307342.43058947515
289,7,9,"[36, 37]",4450.070709228516,1177.2211837768557,627318.8548980481,627318.8548980481
290,7,10,"[38, 39]",4141.009708404541,1064.8133163452148,706098.7800218335,706098.7800218335
291,7,11,"[40, 41]",6571.630840301514,1376.2728271484375,2678637.450130484,2111453.1832880317
292,7,12,"[42, 43, 44, 45, 46, 47]",3133.278118133545,1179.289852142334,924688.261283366,924688.261283366
293,7,13,"[42, 43]",3731.262342453003,1883.12544631958,702173.9106940678,702173.9106940678
294,7,14,"[44, 45]",3380.248046875,1525.3793144226074,481734.9182601773,481734.9182601773
295,7,15,"[46, 47]",2586.363275527954,933.0517177581788,1068432.305564875,1068432.305564875
240,6,0,"[4, 5, 6, 7, 8, 9]",4208.077074050903,1594.318260192871,268967.27319751424,268967.27319751424
241,6,1,"[4, 5]",0.0,0.0,297410.5813038936,297410.5813038936
242,6,2,"[6, 7]",12786.49797821045,4840.545394897461,315960.6685310199,315960.6685310199
243,6,3,"[8, 9]",16109.313011169434,6204.574222564697,1009299.6270625646,1009299.6270625646
