file_name,ev_id,Q_total,E_total,total_light_adc,total_light_np,length,Q_t_not_corrected,Q_t_corrected,total_light_acl_np,total_light_lcm_np
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,2419,7306.360315960275,245.67250181518313,9635731.999999996,0.0,135.5023097902176,7152.791793248236,8290.187999702699,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,3549,1895.606881571829,63.73877894257971,17624692.000000015,0.0,158.39125444599009,1748.600301012078,2456.8622239955002,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,3824,4867.093187854698,163.65343458574648,10862212.000000047,0.0,103.51600000379078,4687.114057647468,6585.221394992602,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,3851,4578.153582743373,153.93799316327386,17204144.00000001,0.0,125.34139663055403,4509.28507296873,5584.829346533209,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,3853,6442.8240269162,216.63655075837102,11624455.999999998,0.0,132.18288662334152,6302.1086872631695,8862.682079939652,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,3921,4576.511950571583,153.88279414963873,8592684.000000006,0.0,94.23651620230994,4460.370000680292,5709.033823566112,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,3944,2358.649288524597,79.30833500650886,9514244.0,0.0,93.89311265996774,2080.7286504472845,2522.7936570791767,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,4031,3578.3468041927936,120.32001896047589,10753580.000000006,0.0,100.489781809972,3490.537347449725,4897.682556516866,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,4125,7317.8661154407155,246.05937823812232,16504248.0,0.0,144.66356160952284,7103.755955550847,8167.2657844525265,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,4341,6229.517579228999,209.46423425734218,19636819.999999993,0.0,145.57369789298522,5898.648473600565,7076.361826943342,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,4477,3508.198709882874,117.96132638559148,11055883.999999968,0.0,83.32466140304221,3318.1707252465158,3652.463751784986,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,4524,6913.812294899977,232.47328219747286,18234968.00000001,0.0,136.53182865847427,6817.38911443595,7581.697658511642,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,4776,4179.675858243261,140.53939040319395,15874603.99999997,0.0,109.52615872382488,3921.026477565525,5472.5361022080415,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,4843,3727.927182120558,125.34958006598302,6229148.000000026,0.0,75.74883687361636,3577.977032559103,5362.040515785485,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,4873,6525.241236483649,219.40778584553635,15931960.000000007,0.0,130.13613054586713,6401.441120223678,8821.230538371368,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,4917,7622.841202023188,256.3140042450483,29703723.999999993,0.0,132.49758347194074,7403.94333365569,10416.068415802642,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,5034,3239.250289800877,108.91807798782875,9575899.999999989,0.0,132.12922113865375,2675.4635323058933,3639.2123745354675,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,5098,1479.1054148383691,49.73413738136564,15236872.000000032,0.0,147.529329363114,1369.5540227907381,2014.1411032348992,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,5320,7232.4907597308775,243.1886770512701,24160092.000000022,0.0,132.55057994894722,6868.6309818609425,9845.145767520406,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,5383,6808.643025350484,228.937021125341,18584211.999999993,0.0,132.228140279504,6275.482181169465,9138.5230296524,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,6112,3304.972053164489,111.12793752541192,22927651.999999985,0.0,133.88705072934323,3216.0855032300988,4288.637850021213,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,6138,1640.8503450652138,55.1727251249717,23907852.0,0.0,167.26208598564648,1595.0978693638644,2055.420509317379,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,6620,5785.572009062771,194.5367992314156,14797435.999999993,0.0,98.21795655288217,5318.528286128523,7561.8578468502765,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,8050,7664.327856681809,257.7089710686338,29286936.000000034,0.0,133.12278171615452,7315.197438305075,8685.242439401634,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,8231,12004.828454340139,403.6560082860106,37533679.999999985,0.0,130.2274186119212,10807.128269352479,11536.606846908418,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,8463,3309.8162999721617,111.29082276254587,11543347.99999998,0.0,80.57074421229026,3214.1421983760642,4211.170601895841,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,8485,3945.873600477793,132.67791312704466,12989016.000000002,0.0,90.46380412642075,3898.968272564458,4768.282888239632,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,8508,2879.4490926176168,96.81995300554175,11403727.999999996,0.0,72.27475818421196,2817.851340572305,3274.246531485758,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,8563,4656.142806206895,156.56033955933836,17100024.000000022,0.0,115.15767214940111,4549.028872146878,5541.101950902226,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,8567,6072.775736487662,204.19387268466278,14604447.999999996,0.0,144.19468526759474,5881.90829492344,7768.702264080691,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,8624,5039.442472055524,169.44858812384678,18475127.999999996,0.0,88.20607744206056,4918.210895970828,7041.100601082761,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,8692,7794.5490187491905,262.0875887785337,12683099.999999993,0.0,132.1977860584989,7666.5907518527965,10549.330972143807,0,0
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,8761,6125.637861442365,205.97133368128513,14531072.000000032,0.0,118.3945985540755,5763.499332384005,7103.32055965624,0,0
