global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr,trap_name
281,7,1,"[52, 53]",1629034.356168747,1286305.1436405182,180654006.30899984,137710331.7259297,LCM 184
282,7,2,"[54, 55]",1769874.7279262545,1441326.947818756,186641855.5231417,149118216.3949228,LCM 185
283,7,3,"[56, 57]",1854627.8387756348,1501164.4588546753,193314718.3058088,153747343.0506305,LCM 186
284,7,4,"[58, 59, 60, 61, 62, 63]",1300447.4383032322,813993.7821807861,571704967.2937443,369803097.7292473,ACL 2.30
285,7,5,"[58, 59]",1255227.0707569122,1009464.3297519684,147665317.42853394,116682885.55699262,LCM 187
286,7,6,"[60, 61]",1093952.5661773682,903744.9090175627,114892039.3898732,92539406.9707188,LCM 188
287,7,7,"[62, 63]",914399.423362732,765790.2029953003,81906621.09114993,65832126.83236993,LCM 189
288,7,8,"[36, 37, 38, 39, 40, 41]",887573.6842250824,602243.1508159637,369441793.8963061,267568611.15531763,ACL 2.31
289,7,9,"[36, 37]",1632736.9399223328,1331879.9036102295,158416662.37978885,126136287.96995446,LCM 190
290,7,10,"[38, 39]",1458668.934185028,1171005.0370407104,166827616.09452453,135724181.5145908,LCM 191
291,7,11,"[40, 41]",1888401.0657730105,1554674.464105606,176198161.7809365,139104854.30809402,LCM 192
292,7,12,"[42, 43, 44, 45, 46, 47]",1094042.446445465,684257.5299110413,517872756.4937218,342931499.9934238,ACL 2.32
293,7,13,"[42, 43]",1446030.6776275637,1257907.1198654177,130235708.75113718,111399107.83225752,LCM 193
294,7,14,"[44, 45]",1219424.1048583984,1034309.9131755828,108453926.57768284,91502778.82766694,LCM 194
295,7,15,"[46, 47]",978891.7126808168,735344.4757289886,85454097.47311272,66247478.09966368,LCM 195
