file_name,global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,0,0,0,"[4, 5, 6, 7, 8, 9]",176.26393127441406,176.26393127441406,232892.42472418328,232892.42472418328
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,1,0,1,"[4, 5]",1538.1469345092773,430.90413665771484,254584.65765117444,52819.29866476397
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,2,0,2,"[6, 7]",1496.7339096069336,1496.7339096069336,179651.69242282398,179651.69242282398
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,3,0,3,"[8, 9]",3909.2555503845215,1638.1078453063965,337628.6191958883,178126.41233481144
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,4,0,4,"[10, 11, 12, 13, 14, 15]",243.22143936157227,47.445343017578125,706631.2328178596,162612.19797682224
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,5,0,5,"[10, 11]",1945.8383827209473,411.38257217407227,273023.78427980916,70498.74494041434
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,6,0,6,"[12, 13]",2239.2978649139404,284.85597038269043,344325.74897212134,41681.89451731901
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,7,0,7,"[14, 15]",1160.8681716918945,130.48023223876953,284110.2556473862,26475.04301891846
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,8,0,8,"[20, 21, 22, 23, 24, 25]",428.3940944671631,148.7721767425537,497268.8137315404,193715.0847982209
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,9,0,9,"[20, 21]",971.6847839355469,971.6847839355469,134662.06939867916,134662.06939867916
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,10,0,10,"[22, 23]",892.6128005981445,892.6128005981445,133607.7623633844,133607.7623633844
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,11,0,11,"[24, 25]",2458.8396186828613,476.3571968078613,258087.68469841123,66203.30914025604
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,12,0,12,"[26, 27, 28, 29, 30, 31]",550.4297981262207,254.16237258911133,562721.4257196505,255048.8381854529
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,13,0,13,"[26, 27]",683.1595497131348,683.1595497131348,99972.98338353015,99972.98338353015
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,14,0,14,"[28, 29]",478.5584030151367,478.5584030151367,58500.44828997995,58500.44828997995
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,15,0,15,"[30, 31]",458.6953773498535,458.6953773498535,40164.93794050577,40164.93794050577
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,40,1,0,"[52, 53, 54, 55, 56, 57]",134.04569625854492,61.873416900634766,131423.17457358784,83168.83027042742
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,41,1,1,"[52, 53]",298.92735290527344,298.92735290527344,68053.40898781837,68053.40898781837
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,42,1,2,"[54, 55]",1653.5341110229492,433.2219772338867,198146.8496377429,48219.747439213235
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,43,1,3,"[56, 57]",770.32004737854,740.9265289306641,136432.36030432454,136432.36030432454
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,44,1,4,"[58, 59, 60, 61, 62, 63]",345.83655548095703,95.9556655883789,292522.3226490682,85375.65891238632
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,45,1,5,"[58, 59]",366.5175552368164,366.5175552368164,30461.15338313373,30461.15338313373
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,46,1,6,"[60, 61]",132.3232536315918,132.3232536315918,24206.376398226937,24206.376398226937
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,47,1,7,"[62, 63]",114.18835067749023,114.18835067749023,19497.233615186364,19497.233615186364
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,48,1,8,"[36, 37, 38, 39, 40, 41]",119.09800338745117,119.09800338745117,208959.90412162637,208959.90412162637
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,49,1,9,"[36, 37]",2109.797538757324,2109.797538757324,181032.94565222642,181032.94565222642
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,50,1,10,"[38, 39]",1799.0006866455078,1799.0006866455078,227669.34296239883,227669.34296239883
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,51,1,11,"[40, 41]",1643.9910202026367,1643.9910202026367,259972.37658163463,259972.37658163463
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,52,1,12,"[42, 43, 44, 45, 46, 47]",958.9042739868164,188.2873306274414,571847.0910666293,102998.79789173056
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,53,1,13,"[42, 43]",156.7891960144043,156.7891960144043,78243.0912190401,78243.0912190401
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,54,1,14,"[44, 45]",568.6759414672852,568.6759414672852,157460.53825538073,157460.53825538073
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,55,1,15,"[46, 47]",796.7035903930664,75.8615951538086,169831.6215360705,7246.546632498876
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,80,2,0,"[4, 5, 6, 7, 8, 9]",6750.092971801758,5235.189792633057,2343833.9062955477,1853716.7882295123
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,81,2,1,"[20, 21]",6909.008190155029,6909.008190155029,1316494.3872458267,1316494.3872458267
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,82,2,2,"[22, 23]",5554.190135955811,4306.659648895264,1438138.1057201757,1162046.1700654572
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,83,2,3,"[24, 25]",5567.808597564697,4583.164066314697,1208848.7220780125,983143.3007325369
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,84,2,4,"[10, 11, 12, 13, 14, 15]",5528.247276306152,4494.887449264526,2862544.0011047414,2084525.1937747742
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,85,2,5,"[26, 27]",1713.9460105895996,1713.9460105895996,713645.5502894929,713645.5502894929
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,86,2,6,"[28, 29]",3725.9633655548096,2516.778917312622,648586.2481188582,463711.2551550574
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,87,2,7,"[30, 31]",1822.1460609436035,1822.1460609436035,351123.12065152114,351123.12065152114
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,88,2,8,"[20, 21, 22, 23, 24, 25]",4349.937080383301,4312.759170532227,1888992.957767772,1888992.957767772
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,89,2,9,"[4, 5]",5923.078788757324,4751.974906921387,931442.7483563496,733273.2593484401
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,90,2,10,"[6, 7]",7004.821250915527,5843.19344329834,1040611.6577091842,841330.0819898274
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,91,2,11,"[8, 9]",6440.958141326904,6440.958141326904,1068745.8664372952,1068745.8664372952
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,92,2,12,"[26, 27, 28, 29, 30, 31]",5700.492561340332,4841.280860900879,2834730.197007646,2317281.7552334876
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,93,2,13,"[10, 11]",2034.2536392211914,2034.2536392211914,722215.9600561985,722215.9600561985
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,94,2,14,"[12, 13]",3149.540075302124,3149.540075302124,678228.4760341345,678228.4760341345
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,95,2,15,"[14, 15]",3040.853317260742,3040.853317260742,553916.8917177066,553916.8917177066
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,120,3,0,"[52, 53, 54, 55, 56, 57]",4909.162462234497,2874.4252185821533,2406517.6018817294,1431211.291285855
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,121,3,1,"[52, 53]",4879.202276229858,4041.5641536712646,1070432.4589895913,830253.6940655698
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,122,3,2,"[54, 55]",5765.815086364746,5765.815086364746,1088695.3098295282,1088695.3098295282
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,123,3,3,"[56, 57]",9114.01528930664,7010.956634521484,1457089.6601171305,1142216.5831268672
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,124,3,4,"[58, 59, 60, 61, 62, 63]",10129.683238983154,5837.920818328857,4086594.3936014716,2610909.525071384
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,125,3,5,"[58, 59]",4338.485969543457,4338.485969543457,892238.0224773516,892238.0224773516
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,126,3,6,"[60, 61]",1884.7406253814697,1884.7406253814697,783945.3341507574,783945.3341507574
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,127,3,7,"[62, 63]",2915.5410499572754,2915.5410499572754,639950.6965674662,639950.6965674662
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,128,3,8,"[36, 37, 38, 39, 40, 41]",5235.778614044189,4159.250171661377,1804216.2647823358,1350901.4855975518
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,129,3,9,"[36, 37]",4736.553880691528,4736.553880691528,680011.3908045925,680011.3908045925
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,130,3,10,"[38, 39]",4170.084568023682,4170.084568023682,752782.6400979134,752782.6400979134
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,131,3,11,"[40, 41]",5032.843738555908,4068.870838165283,865529.5638765526,662648.8778178776
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,132,3,12,"[42, 43, 44, 45, 46, 47]",6976.5960121154785,4209.93469619751,3400664.7972846157,1930652.6996590588
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,133,3,13,"[42, 43]",3907.247829437256,3907.247829437256,835073.4021844654,835073.4021844654
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,134,3,14,"[44, 45]",4593.868713378906,4593.868713378906,812087.4443468372,812087.4443468372
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,135,3,15,"[46, 47]",3612.41690826416,2570.61515045166,793436.0237546457,559874.5644355257
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,160,4,0,"[42, 43, 44, 45, 46, 47]",6100.098670959473,4890.118144989014,2167622.5691086156,1833184.4927814768
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,161,4,1,"[42, 43]",8442.144756317139,7098.496311187744,915576.6169060175,915576.6169060175
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,162,4,2,"[44, 45]",9949.262044906616,8313.011472702026,1228050.6015473965,1054114.9861178184
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,163,4,3,"[46, 47]",6040.528244018555,4606.9512939453125,1399327.2547887652,1009385.8598760706
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,164,4,4,"[36, 37, 38, 39, 40, 41]",11922.97290802002,6890.305713653564,3774763.4427079083,2409697.60550391
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,165,4,5,"[52, 53]",4079.4064712524414,2877.919105529785,930707.9376489655,758655.7562613052
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,166,4,6,"[54, 55]",8632.160572052002,7256.365406036377,773205.1152636467,773205.1152636467
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,167,4,7,"[56, 57]",8153.413433074951,4765.248760223389,677961.2747833193,467976.5434356904
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,168,4,8,"[58, 59, 60, 61, 62, 63]",8596.786657333374,4755.612508773804,3127324.9890354252,1604122.902985733
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,169,4,9,"[58, 59]",11575.004777908325,10709.483600616455,1239869.4278364512,1239869.4278364512
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,170,4,10,"[60, 61]",13395.59833908081,10832.044162750244,1373181.9200544837,1149889.2026428182
packet-0050018-2024_07_10_20_47_24_CDT.FLOW.hdf5,171,4,11,"[62, 63]",14624.17824935913,11805.035423278809,1615984.6741646214,1271712.517377754
