file_name,global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,0,0,0,"[4, 5, 6, 7, 8, 9]",159.6441707611084,159.6441707611084,190538.111243269,190538.111243269
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,1,0,1,"[4, 5]",814.4040336608887,768.9358978271484,117277.23099523014,117277.23099523014
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,2,0,2,"[6, 7]",751.8982124328613,706.4434967041016,84994.53572602046,84994.53572602046
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,3,0,3,"[8, 9]",872.8982963562012,772.9012756347656,78582.09004982114,78582.09004982114
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,4,0,4,"[10, 11, 12, 13, 14, 15]",140.74937629699707,77.33148574829102,294471.7219837503,294471.7219837503
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,5,0,5,"[10, 11]",3608.1362342834473,854.7097015380859,166508.97936322202,166508.97936322202
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,6,0,6,"[12, 13]",2817.072359085083,1140.7954635620117,194270.23574452568,194270.23574452568
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,7,0,7,"[14, 15]",3273.892650604248,923.2704887390137,165360.85988987127,165360.85988987127
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,8,0,8,"[20, 21, 22, 23, 24, 25]",351.67584228515625,34.17999267578125,365356.2844884247,62357.61641107683
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,9,0,9,"[20, 21]",1019.1998443603516,1019.1998443603516,171430.59037755211,171430.59037755211
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,10,0,10,"[22, 23]",970.6462535858154,925.4717254638672,213803.20186805713,213803.20186805713
packet-0050017-2024_07_10_04_07_32_CDT.FLOW.hdf5,11,0,11,"[24, 25]",1994.1361904144287,1927.8151741027832,239031.32152265444,239031.32152265444
