file_name,global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,0,0,0,"[4, 5, 6, 7, 8, 9]",0.0,0.0,22118.8762920054,22118.8762920054
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,1,0,1,"[4, 5]",12.666736602783203,12.666736602783203,13320.05386970784,13320.05386970784
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,2,0,2,"[6, 7]",115.0134334564209,115.0134334564209,18988.632273625783,18988.632273625783
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,3,0,3,"[8, 9]",163.5841407775879,163.5841407775879,28035.793129102025,28035.793129102025
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,4,0,4,"[10, 11, 12, 13, 14, 15]",0.0,0.0,276862.76506926026,276862.76506926026
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,5,0,5,"[10, 11]",726.9539489746094,726.9539489746094,217126.27856984374,217126.27856984374
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,6,0,6,"[12, 13]",990.3888778686523,990.3888778686523,238094.21091577655,238094.21091577655
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,7,0,7,"[14, 15]",885.2847366333008,885.2847366333008,245649.830880641,245649.830880641
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,8,0,8,"[20, 21, 22, 23, 24, 25]",0.0,0.0,21028.79983374583,21028.79983374583
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,9,0,9,"[20, 21]",22.213279724121094,22.213279724121094,12779.018486008841,12779.018486008841
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,10,0,10,"[22, 23]",52.83223533630371,52.83223533630371,18457.9987399256,18457.9987399256
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,11,0,11,"[24, 25]",158.18585968017578,158.18585968017578,27895.774234294844,27895.774234294844
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,12,0,12,"[26, 27, 28, 29, 30, 31]",161.84352111816406,73.56246185302734,391314.9267258701,189846.12265269854
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,13,0,13,"[26, 27]",1856.6266708374023,848.3098983764648,411526.08610658615,212090.36441019108
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,14,0,14,"[28, 29]",1279.9805145263672,1279.9805145263672,256957.5638998004,256957.5638998004
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,15,0,15,"[30, 31]",838.7786178588867,838.7786178588867,156668.17295895904,156668.17295895904
matched_flowed_mpd_run_data_rctl_768_p50515253.FLOW.hdf5,40,1,0,"[52, 53, 54, 55, 56, 57]",38.87872314453125,38.87872314453125,56556.81896804878,56556.81896804878
