file_name,global_trap_id,tpc,adc,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,125,3,3,"[58, 59]",1486.8122386932373,740.7656097412109,357269.6005030498,357269.6005030498
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,126,3,3,"[60, 61]",395.53966903686523,207.45328903198242,287370.01590776426,287370.01590776426
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,127,3,3,"[62, 63]",638.4472274780273,427.2219581604004,644801.2004063947,644801.2004063947
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,128,3,3,"[36, 37, 38, 39, 40, 41]",1886.1766510009766,597.2231521606445,304246.2628292586,304246.2628292586
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,129,3,3,"[36, 37]",1922.5969982147217,611.0456371307373,405802.8806692224,405802.8806692224
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,130,3,3,"[38, 39]",1452.1891498565674,551.7570285797119,446084.12308836344,446084.12308836344
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,131,3,3,"[40, 41]",1558.1201972961426,679.9618263244629,1415364.3021536816,1415364.3021536816
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,132,3,3,"[42, 43, 44, 45, 46, 47]",1796.1628246307373,1340.9003276824951,695290.8919096699,695290.8919096699
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,133,3,3,"[42, 43]",1483.3316593170166,1124.425006866455,446776.0936896805,446776.0936896805
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,134,3,3,"[44, 45]",2348.0860481262207,1894.7488555908203,301883.7130749225,301883.7130749225
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,135,3,3,"[46, 47]",3037.26642036438,631.7637004852295,588168.0522154416,588168.0522154416
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,80,2,2,"[4, 5, 6, 7, 8, 9]",6435.468700408936,261.357421875,67348.13268141943,67348.13268141943
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,81,2,2,"[20, 21]",5696.847217559814,260.9483337402344,96920.5375936596,96920.5375936596
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,82,2,2,"[22, 23]",4585.351058959961,232.96735763549805,121068.90473790914,121068.90473790914
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,83,2,2,"[24, 25]",6662.615272521973,645.1385116577148,476143.4593916147,476143.4593916147
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,84,2,2,"[10, 11, 12, 13, 14, 15]",8098.107044219971,1441.5044898986816,220715.04683806974,220715.04683806974
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,85,2,2,"[26, 27]",1742.3708248138428,454.8306083679199,182625.64398021606,182625.64398021606
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,86,2,2,"[28, 29]",2562.9815158843994,740.9180488586426,156608.86083177853,156608.86083177853
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,87,2,2,"[30, 31]",2005.915283203125,610.3529663085938,355002.09203981544,355002.09203981544
packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5,88,2,2,"[20, 21, 22, 23, 24, 25]",3014.5815505981445,430.05371856689453,212196.49583271347,212196.49583271347
