file_name,global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,0,0,0,"[4, 5, 6, 7, 8, 9]",64.49624633789062,64.49624633789062,86308.19882199462,86308.19882199462
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,1,0,1,"[4, 5]",519.8656845092773,519.8656845092773,65986.53704868037,65986.53704868037
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,2,0,2,"[6, 7]",768.9937744140625,768.9937744140625,109613.51578327606,109613.51578327606
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,3,0,3,"[8, 9]",1498.1256523132324,1498.1256523132324,201309.3638571818,201309.3638571818
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,4,0,4,"[10, 11, 12, 13, 14, 15]",232.02120971679688,65.60751342773438,678694.0671703576,108117.6995843063
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,5,0,5,"[10, 11]",4459.987655639648,397.6257781982422,464662.0837378786,65121.12742376809
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,6,0,6,"[12, 13]",2972.383445739746,1644.6972885131836,242246.15329774722,242246.15329774722
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,7,0,7,"[14, 15]",1295.1979866027832,636.7761726379395,139579.2674360909,139579.2674360909
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,8,0,8,"[20, 21, 22, 23, 24, 25]",102.94126892089844,102.94126892089844,99938.64616454084,99938.64616454084
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,9,0,9,"[20, 21]",622.3206367492676,605.3459014892578,60780.79376703269,60780.79376703269
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,10,0,10,"[22, 23]",349.64520263671875,349.64520263671875,65636.60958180655,65636.60958180655
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,11,0,11,"[24, 25]",733.2104873657227,693.7546043395996,71091.25937189747,71091.25937189747
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,12,0,12,"[26, 27, 28, 29, 30, 31]",491.78935623168945,228.1502571105957,541376.0050027585,208260.5282806768
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,13,0,13,"[26, 27]",1752.5201568603516,1652.7118911743164,334188.1863507622,334188.1863507622
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,14,0,14,"[28, 29]",2982.878746032715,2856.9276275634766,416132.10672758846,416132.10672758846
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,15,0,15,"[30, 31]",2525.3995246887207,843.9787483215332,361829.9167919491,126504.15400994633
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,40,1,0,"[52, 53, 54, 55, 56, 57]",496.2746162414551,234.47426223754883,506743.98066600156,175935.98159826067
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,41,1,1,"[52, 53]",1467.5819816589355,565.3019523620605,298461.6866194836,124959.96136156638
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,42,1,2,"[54, 55]",1710.3865394592285,1120.0289344787598,360250.44072687195,194728.31685937714
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,43,1,3,"[56, 57]",721.5777626037598,721.5777626037598,152730.18527043122,152730.18527043122
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,44,1,4,"[58, 59, 60, 61, 62, 63]",180.31906127929688,180.31906127929688,242479.68792437986,242479.68792437986
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,45,1,5,"[58, 59]",1751.365837097168,703.107292175293,218236.13131997216,50654.40107576028
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,46,1,6,"[60, 61]",791.5789375305176,791.5789375305176,203404.7150148139,203404.7150148139
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,47,1,7,"[62, 63]",446.3747730255127,446.3747730255127,112389.62317420632,112389.62317420632
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,48,1,8,"[36, 37, 38, 39, 40, 41]",904.3786811828613,59.45845413208008,612810.8395510211,78391.76518919761
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,49,1,9,"[36, 37]",1721.817138671875,1721.817138671875,116401.28460847173,116401.28460847173
packet-0050018-2024_07_11_04_18_12_CDT.FLOW.hdf5,50,1,10,"[38, 39]",584.0676822662354,584.0676822662354,76132.34782671795,76132.34782671795
