file_name,global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,0,0,0,"[4, 5, 6, 7, 8, 9]",95.85893821716309,30.133092880249023,29935.66208148269,29935.66208148269
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,1,0,1,"[4, 5]",1856.4491500854492,119.99675750732422,16561.31667814741,16561.31667814741
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,2,0,2,"[6, 7]",495.9207077026367,154.5711898803711,21169.049206078456,21169.049206078456
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,3,0,3,"[8, 9]",430.2707805633545,165.55465507507324,26429.613108799665,26429.613108799665
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,4,0,4,"[10, 11, 12, 13, 14, 15]",43.76784133911133,43.76784133911133,115590.2898516607,115590.2898516607
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,5,0,5,"[10, 11]",261.8429756164551,225.57064056396484,52363.73194927328,52363.73194927328
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,6,0,6,"[12, 13]",386.0844841003418,343.09859466552734,58594.373870714655,58594.373870714655
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,7,0,7,"[14, 15]",381.59477615356445,356.2111053466797,59302.346816269106,59302.346816269106
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,8,0,8,"[20, 21, 22, 23, 24, 25]",54.889869689941406,0.0,14770.25355510437,14770.25355510437
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,9,0,9,"[20, 21]",834.0480804443359,122.68955993652344,16460.77076102377,16460.77076102377
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,10,0,10,"[22, 23]",904.8252105712891,267.65223693847656,50545.421580873655,50545.421580873655
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,11,0,11,"[24, 25]",1139.8299160003662,832.1522121429443,125904.64548595258,125904.64548595258
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,12,0,12,"[26, 27, 28, 29, 30, 31]",533.3130683898926,458.8328285217285,562144.6459887611,562144.6459887611
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,13,0,13,"[26, 27]",1487.2226448059082,709.4710083007812,300978.164373863,155143.48066921483
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,14,0,14,"[28, 29]",1311.1535034179688,1261.9280242919922,216934.35046842793,216934.35046842793
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,15,0,15,"[30, 31]",696.2880344390869,660.8403224945068,129392.52713103133,129392.52713103133
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,40,1,0,"[52, 53, 54, 55, 56, 57]",234.38268280029297,179.96099090576172,115803.91186423591,115803.91186423591
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,41,1,1,"[52, 53]",454.6150932312012,328.54484939575195,45894.17531322643,45894.17531322643
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,42,1,2,"[54, 55]",730.864128112793,339.8974151611328,47519.66367323946,47519.66367323946
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,43,1,3,"[56, 57]",1010.6617202758789,418.05753326416016,48346.2713310869,48346.2713310869
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,44,1,4,"[58, 59, 60, 61, 62, 63]",405.72507095336914,133.2400245666504,146530.71693789103,146530.71693789103
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,45,1,5,"[58, 59]",972.9581909179688,554.1196594238281,47133.290910624644,47133.290910624644
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,46,1,6,"[60, 61]",887.9049949645996,194.5715103149414,43433.46955051983,43433.46955051983
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,47,1,7,"[62, 63]",1119.133014678955,269.6873435974121,37504.63421270448,37504.63421270448
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,48,1,8,"[36, 37, 38, 39, 40, 41]",1125.1575050354004,399.209716796875,1172876.8153383357,565583.1158636138
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,49,1,9,"[36, 37]",2639.4620399475098,2340.612705230713,332161.4953374603,332161.4953374603
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,50,1,10,"[38, 39]",1527.30859375,1170.2041015625,250367.54915802792,250367.54915802792
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,51,1,11,"[40, 41]",2461.2723083496094,1090.7210388183594,182763.82986806025,182763.82986806025
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,52,1,12,"[42, 43, 44, 45, 46, 47]",862.1974334716797,700.5581207275391,465261.7516213879,465261.7516213879
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,53,1,13,"[42, 43]",1193.212890625,316.7611083984375,306355.56298934104,104614.15708869293
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,54,1,14,"[44, 45]",671.8355407714844,644.0853881835938,161454.64485707635,161454.64485707635
packet-0050017-2024_07_10_01_17_14_CDT.FLOW.hdf5,55,1,15,"[46, 47]",435.62619400024414,369.8286361694336,89710.29803818402,89710.29803818402
