file_name,global_trap_id,tpc,trap,ch_list,PE_meas,PE_meas_noLTcr,PE_exp,PE_exp_noLTcr
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,0,0,0,"[4, 5, 6, 7, 8, 9]",629.7656784057617,72.17845916748047,479745.0889320475,96061.40438350152
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,1,0,1,"[4, 5]",1284.186923980713,1284.186923980713,235414.90968789693,235414.90968789693
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,2,0,2,"[6, 7]",1585.7776718139648,1585.7776718139648,238084.6081685592,238084.6081685592
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,3,0,3,"[8, 9]",2108.2799530029297,2108.2799530029297,247881.32614466696,247881.32614466696
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,4,0,4,"[10, 11, 12, 13, 14, 15]",417.0950927734375,417.0950927734375,716264.387677633,716264.387677633
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,5,0,5,"[10, 11]",1689.284538269043,1216.7643966674805,303136.9983836275,198056.97719956556
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,6,0,6,"[12, 13]",2783.9735164642334,1253.5837326049805,370577.55275314115,225379.01243413586
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,7,0,7,"[14, 15]",1754.9017791748047,1754.9017791748047,316819.8995661901,316819.8995661901
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,8,0,8,"[20, 21, 22, 23, 24, 25]",435.9683151245117,67.82286834716797,517550.70881196077,58006.7537822342
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,9,0,9,"[20, 21]",592.291259765625,592.291259765625,100699.4610773823,100699.4610773823
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,10,0,10,"[22, 23]",441.0201988220215,441.0201988220215,84852.63509526392,84852.63509526392
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,11,0,11,"[24, 25]",552.1122207641602,552.1122207641602,75384.4754394972,75384.4754394972
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,12,0,12,"[26, 27, 28, 29, 30, 31]",174.50235748291016,174.50235748291016,201682.51276899374,201682.51276899374
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,13,0,13,"[26, 27]",304.8985137939453,304.8985137939453,62909.051252166544,62909.051252166544
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,14,0,14,"[28, 29]",512.1219863891602,512.1219863891602,58651.669899499524,58651.669899499524
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,15,0,15,"[30, 31]",382.72810554504395,382.72810554504395,51737.4836909341,51737.4836909341
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,40,1,0,"[52, 53, 54, 55, 56, 57]",90.05045509338379,59.63234329223633,105016.65688841871,56510.35392079108
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,41,1,1,"[52, 53]",148.52706146240234,148.52706146240234,31719.959491004272,31719.959491004272
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,42,1,2,"[54, 55]",239.5539207458496,239.5539207458496,40590.53301282856,40590.53301282856
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,43,1,3,"[56, 57]",269.7578125,269.7578125,51631.86548982787,51631.86548982787
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,44,1,4,"[58, 59, 60, 61, 62, 63]",334.3481979370117,334.3481979370117,269032.31691613776,269032.31691613776
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,45,1,5,"[58, 59]",3703.2239837646484,1374.5904388427734,298504.62408130564,150496.1051722652
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,46,1,6,"[60, 61]",1555.9596405029297,1555.9596405029297,388530.64061133395,388530.64061133395
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,47,1,7,"[62, 63]",1202.2945747375488,345.7016181945801,347544.0683115876,150434.53497284703
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,48,1,8,"[36, 37, 38, 39, 40, 41]",135.2001953125,0.0,243018.39758310013,10478.74095934215
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,49,1,9,"[36, 37]",1237.4067497253418,1237.4067497253418,178627.68386635956,178627.68386635956
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,50,1,10,"[38, 39]",713.5017890930176,713.5017890930176,129986.13147968506,129986.13147968506
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,51,1,11,"[40, 41]",509.86038970947266,509.86038970947266,100621.29866172066,100621.29866172066
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,52,1,12,"[42, 43, 44, 45, 46, 47]",363.6499214172363,363.6499214172363,260218.08953259676,260218.08953259676
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,53,1,13,"[42, 43]",664.912239074707,664.912239074707,287696.73571607127,287696.73571607127
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,54,1,14,"[44, 45]",1804.4779434204102,235.21439361572266,241381.04429228528,52239.08466237894
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,55,1,15,"[46, 47]",585.1397933959961,585.1397933959961,57006.848486781266,57006.848486781266
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,80,2,0,"[4, 5, 6, 7, 8, 9]",9202.09878540039,7862.355499267578,3380838.5278905323,2818523.2717384417
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,81,2,1,"[20, 21]",9749.540302276611,7540.721851348877,1402432.4622296903,1077194.7337002358
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,82,2,2,"[22, 23]",7722.507923126221,4361.144184112549,1473332.0566472008,790608.8188998224
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,83,2,3,"[24, 25]",8056.837343215942,7698.707887649536,1175587.4872294718,1106961.392994592
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,84,2,4,"[10, 11, 12, 13, 14, 15]",12023.57974243164,10114.308135986328,3872526.1218307125,2854642.1385281673
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,85,2,5,"[26, 27]",3397.044864654541,2867.5799598693848,1154734.220725806,911344.8176215191
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,86,2,6,"[28, 29]",4932.962434768677,4932.962434768677,939939.3013890553,939939.3013890553
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,87,2,7,"[30, 31]",4110.195516586304,4110.195516586304,697727.4304822823,697727.4304822823
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,88,2,8,"[20, 21, 22, 23, 24, 25]",3230.9787406921387,3230.9787406921387,1320854.7397671284,1320854.7397671284
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,89,2,9,"[4, 5]",4907.544673919678,4907.544673919678,578243.3343836385,578243.3343836385
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,90,2,10,"[6, 7]",6309.232757568359,6309.232757568359,742704.4713564015,742704.4713564015
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,91,2,11,"[8, 9]",6118.069566726685,6118.069566726685,841686.234183796,841686.234183796
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,92,2,12,"[26, 27, 28, 29, 30, 31]",8819.1363697052,6947.388261795044,3234855.920577838,2464661.52319209
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,93,2,13,"[10, 11]",4393.299884796143,3219.335376739502,1244583.4832463402,914027.7961173718
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,94,2,14,"[12, 13]",5965.619155883789,5965.619155883789,922437.5030588418,922437.5030588418
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,95,2,15,"[14, 15]",4801.586027145386,4801.586027145386,745000.5624973823,745000.5624973823
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,120,3,0,"[52, 53, 54, 55, 56, 57]",2808.386812210083,1788.546625137329,1399568.6473381284,1399568.6473381284
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,121,3,1,"[52, 53]",3415.631523132324,2449.463897705078,499290.2682218497,499290.2682218497
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,122,3,2,"[54, 55]",4493.3475131988525,2868.623529434204,640498.2512969451,547751.409926466
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,123,3,3,"[56, 57]",4239.9168491363525,2193.175678253174,831841.6784044295,426983.73616864736
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,124,3,4,"[58, 59, 60, 61, 62, 63]",5390.110294342041,5362.007225036621,2311048.617369099,2311048.617369099
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,125,3,5,"[58, 59]",3806.512908935547,3770.747127532959,798485.090353739,798485.090353739
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,126,3,6,"[60, 61]",1222.230941772461,1222.230941772461,542983.0776841625,542983.0776841625
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,127,3,7,"[62, 63]",1652.7503719329834,1652.7503719329834,391907.8131709923,391907.8131709923
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,128,3,8,"[36, 37, 38, 39, 40, 41]",3231.514804840088,2775.33491897583,1426856.3364353075,1426856.3364353075
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,129,3,9,"[36, 37]",3917.0252075195312,3706.461227416992,667477.2021930185,667477.2021930185
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,130,3,10,"[38, 39]",3696.387222290039,3549.0918579101562,727514.0456784221,727514.0456784221
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,131,3,11,"[40, 41]",3688.843297958374,3559.0891857147217,799262.2312639226,799262.2312639226
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,132,3,12,"[42, 43, 44, 45, 46, 47]",5924.231204986572,4850.120231628418,2891372.175191246,2390933.1521714595
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,133,3,13,"[42, 43]",3776.253671646118,3730.3295497894287,876151.621955163,876151.621955163
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,134,3,14,"[44, 45]",4742.035984039307,3653.042568206787,890048.2344016168,669830.7173555546
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,135,3,15,"[46, 47]",2923.1630477905273,2306.750373840332,666965.1243184621,580079.0277781754
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,160,4,0,"[42, 43, 44, 45, 46, 47]",5904.956590652466,5565.196659088135,2454577.74663319,2269257.232074003
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,161,4,1,"[42, 43]",7364.49503326416,7304.2147789001465,940648.8390372545,940648.8390372545
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,162,4,2,"[44, 45]",7910.776876449585,5344.3363246917725,1000137.8121591739,526543.860942472
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,163,4,3,"[46, 47]",4147.319532394409,3483.498785018921,835036.8223195681,616588.1847667233
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,164,4,4,"[36, 37, 38, 39, 40, 41]",6290.252178192139,3772.1419792175293,1902328.5303588582,1247804.0756501947
packet-0050018-2024_07_10_16_06_55_CDT.FLOW.hdf5,165,4,5,"[52, 53]",2531.235237121582,2152.2021560668945,560527.2003700407,560527.2003700407
